,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40
Class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACP6|51205,624,797,457,377,572,579,2000,1878,1339,853,1001,1162,1385,1505,1235,1191,955,2174,2288,1506,765,495,363,537,531,295,329,768,1274,634,1267,417,1366,602,965,691,423,611,1190,713
ADIPOQ|9370,0,10,0,291,1,236,0,2,0,3,2545,0,30,1,0,32,1,0,1,0,0,2,0,0,0,0,0,1,1,0,31,0,0,0,0,0,0,2,2,0
ABHD11|83451,941,984,677,883,858,815,3672,2051,1772,1281,1596,1519,1613,1920,3731,2463,2122,2122,4466,2701,1912,990,1903,941,997,707,1505,1380,862,1951,1050,542,1005,3283,1113,1255,894,1631,2393,1266
AIFM3|150209,69,31,49,12,20,25,26,69,39,15,33,57,29,17,30,20,23,24,29,34,66,36,69,31,94,57,33,44,65,32,61,5,57,13,19,19,55,13,18,18
ACR|49,29,25,11,5,5,12,1,3,34,5,12,22,4,12,8,3,1,0,4,4,19,20,4,5,44,17,2,23,14,20,42,12,20,21,5,8,17,53,18,8
AKAP11|11215,3679,4408,2534,3158,4832,3782,6633,12678,5919,6076,5847,6406,6645,9334,8864,5890,2359,4954,9086,7755,5408,5554,5607,4054,4193,2241,1791,4538,8906,5163,6251,3482,3312,4943,6009,7598,3368,4691,4833,9223
AFTPH|54812,5199,5259,3920,2929,4880,3955,6943,6369,8080,4496,5306,8746,6957,8416,8240,6437,3255,4907,7393,9663,5269,5010,4087,3555,4283,1707,2607,8538,9556,7019,6002,4434,5760,6657,4979,9556,3637,11056,4752,6996
AIF1L|83543,36013,25138,19376,24988,22548,32812,149996,159633,47849,99732,46526,51061,146808,145283,188788,163390,83672,123754,276082,117081,12392,8699,1648,1305,3195,892,1011,28386,9222,22460,2526,8473,5058,8930,1069,24185,3309,17938,8756,2953
AHCY|191,24040,31894,19966,3591,14391,9185,9100,10825,34799,5765,11321,25010,5936,9588,9446,8447,4025,7841,9112,14980,10899,7797,4152,5410,7278,8330,10902,8285,9297,12389,10712,9496,11549,13830,11460,10808,11712,24714,11971,12382
?|10357,140,144,61,126,185,126,344,313,181,277,217,267,156,326,396,318,247,342,337,332,196,197,171,216,149,139,192,212,337,422,302,145,188,235,286,270,130,256,223,331
ADAMTS6|11174,44,19,17,53,10,52,63,97,48,121,94,53,160,198,348,81,63,69,378,137,49,26,29,72,74,53,32,249,126,73,76,18,29,37,14,156,20,139,25,16
ADAT2|134637,138,105,61,81,70,181,310,190,137,169,149,171,151,280,355,169,120,208,183,257,342,273,236,188,267,223,99,365,436,220,107,160,139,252,314,381,64,334,150,199
ABCD2|225,83,93,80,59,150,51,15,13,130,17,87,92,5,28,12,2,3,6,4,47,223,69,23,33,76,130,74,377,269,130,73,57,201,21,40,290,96,69,81,149
AEBP2|121536,1229,1264,1113,1504,1331,1510,3178,3107,1957,2638,2380,2685,2591,3601,3651,2430,1283,2004,3116,3890,2487,2216,1957,2096,2113,1583,2222,2361,3054,3267,2838,1389,1737,2428,3650,3500,2591,2072,2584,3046
?|155060,207,105,66,83,53,286,307,134,192,255,144,196,300,287,512,167,166,174,400,195,359,736,542,361,463,381,255,607,1353,116,205,87,240,211,193,342,202,192,141,185
ACO1|48,9431,16178,8726,2748,14853,10556,7653,8183,34161,4823,15069,26484,6355,8420,9027,7780,3604,6880,8806,13788,4989,4344,4175,3506,4735,2371,3018,7701,6394,10372,6341,3744,4751,5461,6306,7676,7279,8944,6208,4960
ADAMTS13|11093,118,101,59,55,30,120,215,107,114,150,135,199,125,138,333,85,104,115,288,108,141,200,207,65,108,73,18,208,339,27,36,46,63,85,28,73,69,56,78,28
AHSP|51327,0,4,0,2,1,0,2,7,0,2,5,0,0,0,1,4,1,5,2,7,2,0,1,22,0,0,0,0,3,6,0,0,0,1,2,0,0,0,0,2
AGTPBP1|23287,754,760,505,802,1188,824,1155,1553,1474,1407,1428,1371,1413,2008,2116,1669,699,1304,2172,1612,1194,1273,1114,921,991,691,573,1694,1640,1938,983,890,1043,1063,1111,2259,772,2324,1654,1171
AFAP1L2|84632,1782,1174,889,1680,1295,2296,17563,24597,1969,11198,3915,3158,11383,13984,9398,11699,6413,16573,14943,7400,826,1162,746,876,1156,2188,959,3515,1615,3161,1133,836,823,1361,1027,3306,272,2127,1489,1421
ADAMTS20|80070,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25,1,2,0,1,1,3,2,4,2,0,0,1,1,1,0,3
AHCYL2|23382,2653,4434,2964,1618,3107,4014,2645,3592,5132,2809,6565,7782,4071,4810,5128,3396,1635,3606,6136,4802,2858,1131,15753,919,1134,4398,720,3451,2800,5597,6356,1061,2634,1149,1676,2231,1237,6078,2904,7132
ACAD11|84129,6450,8302,5012,1150,4539,4373,3427,1786,11564,1759,5536,13517,2182,3083,3940,2657,1167,2294,3685,6974,17787,7726,1256,2364,13024,5002,1435,26285,14140,10209,32022,10346,6716,17181,18427,28615,7193,23160,15948,13259
ADAM21P1|145241,1,5,2,2,6,2,3,7,3,5,7,0,5,9,4,7,6,1,4,8,2,0,5,0,2,0,2,1,0,3,3,2,1,1,3,1,3,3,1,5
ACVR1B|91,5488,5526,2999,3319,4079,5303,17900,9737,9045,8166,8455,10659,11147,12268,18459,9616,4568,9554,8933,14623,5346,4576,5557,2906,5198,2733,5074,4929,6207,7402,4588,3959,2877,4639,3647,6564,5349,3809,5355,7877
AGPAT5|55326,1789,2713,2136,1599,3238,1552,4660,2944,4529,2121,2766,4018,2731,3937,4735,4232,1694,2806,4125,4878,4417,4439,3526,4578,5600,1593,1579,3358,6779,2351,7471,5162,4478,2843,4648,8446,4398,6227,6973,9358
ADARB2|105,3,52,19,9,15,12,23,42,13,23,27,39,11,24,3,22,4,1,52,11,18,6,12,7,27,3,0,2,0,2,1,7,10,5,0,16,0,2,5,20
ABCA4|24,651,69,43,65,49,62,12324,15620,160,7437,200,308,8101,13733,3199,5120,4291,5398,27852,3332,16,18,30,22,10,33,12,18,7,48,17,15,8,9,6,18,13,13,57,20
AGPAT6|137964,2654,4694,1901,2298,2418,2377,4591,3063,6195,2986,5518,6111,3191,3511,5825,4608,2223,4604,5911,5585,3217,4370,3874,3187,3324,2439,1896,4442,5428,4550,4842,4546,3636,3610,5806,8743,6059,4635,5619,5704
AAK1|22848,2277,2910,2217,2337,2149,2993,7277,4470,4683,3775,4945,6647,4913,6610,8547,4214,2501,4456,6311,7142,3153,3003,5472,1725,2463,2273,1682,3561,4124,5630,3040,1820,4147,2561,1835,5894,2775,2702,2688,3043
ADAM33|80332,28,12,25,106,51,40,51,106,52,164,329,15,32,57,56,89,16,42,20,43,15,44,66,12,5,53,30,3,19,25,23,0,1,5,0,1,1,2,0,19
ADCY8|114,15,8,13,3,0,8,5,0,33,0,7,17,5,7,4,1,0,0,1,29,7,0,0,48,167,22,4,0,0,855,1,180,17,0,0,10,3,0,315,3
ADD3|120,14184,14920,11548,5802,13208,9300,10245,13869,16759,9447,13429,19843,12669,13953,14402,10818,4393,7652,15195,17396,12172,15384,4647,5636,8443,3744,3625,13818,13325,12674,8788,8695,9242,10429,8391,19463,13227,8315,8931,11930
ACCN3|9311,9,10,9,2,1,16,4,11,6,3,12,10,5,2,9,1,0,3,3,2,37,31,16,7,30,22,13,36,84,4,15,2,54,7,4,6,9,26,3,8
ADRA1D|146,3,6,4,40,17,22,8,5,18,31,27,11,20,31,4,51,9,86,10,28,1,10,4,20,0,22,11,6,0,16,3,0,2,15,8,2,0,2,1,5
ADAM11|4185,4,7,3,1,5,15,10,14,3,12,11,14,6,11,9,8,9,5,9,11,84,30,1,249,103,60,25,17,37,10,312,11,7,38,16,26,38,74,22,79
AHNAK|79026,22356,30718,15374,49111,42232,39457,79873,200644,64131,113716,118575,72879,143140,133638,169346,74130,46671,103338,221084,115052,55908,120155,62331,75936,168181,37704,60709,99189,135926,131812,176345,103462,42727,65428,131297,163788,145819,133682,131640,168278
ABHD14A|25864,2038,2473,2134,838,1019,785,2133,1156,2013,983,1315,2618,1500,1454,1880,1412,961,1308,1827,1542,646,526,397,390,341,784,986,692,562,1079,623,502,922,894,672,600,484,862,859,582
AGXT2|64902,18495,20378,12382,1031,9414,7187,109,13,27907,28,5555,28641,153,1059,427,30,3,17,164,7977,4623,2580,0,15,1614,836,661,9731,7443,2849,4067,4969,7715,1587,356,5434,315,3992,2710,1340
AKAP14|158798,0,1,0,1,0,0,0,2,2,2,1,1,1,3,0,0,0,2,1,2,1,1,1,0,1,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0
ABCC6P1|653190,585,286,297,33,205,305,19,12,707,20,149,347,35,37,60,12,24,21,56,147,1124,79,11,15,420,324,359,779,377,238,535,60,970,100,17,299,3597,523,316,155
ADAMTS15|170689,321,144,31,62,83,143,827,123,253,800,253,234,2291,1212,1740,855,514,1079,1246,799,108,174,21,88,7,69,7,226,35,117,28,73,43,221,48,150,45,267,88,135
ACAT1|38,27856,29948,19712,4801,17223,14718,20348,6400,34300,10684,20041,40626,20097,21315,26564,16887,12669,21140,30124,37442,9083,5105,21667,3543,6068,2603,3258,15647,11407,12405,12399,10802,7904,14652,10547,14523,2804,13869,3814,8844
AHI1|54806,547,483,330,473,399,582,941,1289,635,1013,788,1007,1113,1319,1570,971,455,1003,1372,977,1175,947,1186,690,712,431,441,924,1476,541,586,454,356,487,767,1338,481,923,453,992
ACSM2B|348158,22578,30185,13743,1774,12049,11780,164,48,44803,100,19220,39316,206,955,650,42,5,14,186,6568,10857,1486,1,28,12474,1039,2903,23743,6157,13669,9858,5196,20791,4307,2175,11806,2812,31611,7105,3941
ABCC13|150000,1,0,0,1,0,9,1,13,1,2,0,1,0,1,8,0,1,7,2,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,5,0,0,1,0,0
ABCC8|6833,5,6,2,5,8,28,5,0,11,11,15,11,4,3,6,7,2,3,5,16,14,4,0,2,5,0,2,2,24,2,16,3,0,1,0,10,1,0,3,2
ADH6|130,4471,6213,4380,448,3623,2636,73,24,7864,42,2461,8476,55,268,96,16,2,12,45,2347,670,351,1,31,233,331,194,898,74,257,529,193,494,898,13,256,257,27,168,314
ACSM4|341392,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP3|116988,1004,1311,767,854,718,1182,808,1067,1646,1033,1931,2363,1270,1371,1942,878,764,1490,1614,1352,3418,3169,3272,2241,2711,2097,1836,2205,3367,2831,1994,1966,2844,3299,3538,2486,2460,2613,2254,3657
ACSM2A|123876,24491,28103,25020,4073,24986,14549,258,35,54649,230,19996,60943,411,2273,2422,122,38,37,461,12383,12259,4139,2,42,23297,856,2078,15209,6483,22839,9715,11206,24804,16372,3303,11552,4739,17161,6775,8580
ACTR3C|653857,323,167,195,140,174,224,352,594,329,457,295,311,472,720,389,736,190,761,1102,417,615,263,514,118,282,175,492,253,280,349,173,229,292,142,46,267,492,126,202,107
A1CF|29974,1052,1692,650,59,748,593,2,0,1884,4,402,1322,9,39,22,2,0,0,14,328,1465,704,0,3,772,103,113,517,1020,294,603,604,295,674,706,1426,995,660,681,1137
ACN9|57001,1271,1248,975,391,839,495,1200,1128,869,670,690,974,828,977,1240,1332,747,914,1440,1565,825,360,246,587,483,517,684,289,367,713,362,253,195,659,678,251,372,620,540,490
AGFG1|3267,2444,3212,2578,3474,4599,2968,6960,7566,4711,3951,6054,5246,4697,5951,7996,5463,2386,4550,6989,8255,5663,5817,7079,3876,3876,3470,6272,6057,5634,5760,5069,2921,4011,2632,5109,8904,5443,8455,4263,9317
ADAMTS10|81794,141,93,69,235,98,192,59,72,182,139,407,237,114,155,221,34,44,131,135,80,1081,1216,177,500,1267,631,530,670,329,656,1601,371,868,186,72,746,1188,257,1583,665
AG2|387763,531,1622,992,7892,1238,2404,567,409,2223,672,6256,1099,1021,1345,3078,1268,2025,1155,2996,6019,1327,2428,1081,17176,868,3524,2751,1985,818,2343,1278,903,821,5847,3363,1138,639,1295,2116,4032
ACCSL|390110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2
AK3|50808,8924,7527,4882,3546,8768,6886,17527,9641,9269,10661,8692,11615,12642,19469,24270,22919,7807,12754,21454,20754,5780,3891,10557,1727,2443,2737,1913,4422,4667,8068,4696,2602,4058,3776,4312,6605,2393,9721,4870,3023
ACOT6|641372,107,143,62,5,60,49,22,14,119,20,19,80,11,20,36,21,10,12,23,50,17,5,23,15,9,14,26,11,11,24,31,21,0,25,26,27,11,49,16,7
AES|166,11989,10778,8404,13210,11258,10466,31664,27590,18352,20190,17953,17279,24790,28465,33377,27905,23760,36056,34774,26412,18527,17793,25515,13312,15147,18429,17373,13813,17767,28156,18183,13311,26782,27622,17907,18527,13330,26535,19537,31923
ACAD9|28976,1745,1836,1308,1325,1598,1504,3780,3155,2904,2140,2696,3312,2655,3409,4501,3463,1661,3159,4317,3209,2638,3532,2743,1438,2065,1833,3129,3244,1988,3503,3156,1502,3594,2046,3317,4114,2367,2117,3326,1912
AFF1|4299,8901,11410,6091,6341,6803,10174,29347,35260,18908,16886,17331,19962,21345,20293,29301,12349,5425,14665,17799,26257,12577,19718,10735,10304,11324,5561,2831,15837,18017,14251,33987,13458,13821,18888,15213,36513,9272,12655,16818,14274
ADM2|79924,1684,2182,1133,471,1022,969,141,37,2741,87,1459,3584,96,179,338,72,49,25,92,1014,2064,1102,44,416,1383,1376,523,2781,3383,933,1441,2615,4729,3818,1167,2552,1577,2351,1429,1454
ADCY10|55811,3,8,1,1,0,5,1,4,5,9,0,1,2,14,8,7,0,7,2,1,34,23,4,14,23,5,7,25,29,4,20,4,12,7,8,10,8,2,6,12
ABCC2|1244,3183,2924,1839,195,1711,1376,19,7,4871,15,1819,4425,34,89,43,13,4,18,35,902,2321,4544,12,362,2499,987,1564,1129,823,164,3534,1690,3849,1841,1029,2428,8364,2982,1324,3009
ADSL|158,2628,2426,1687,1293,2225,1239,2915,2672,3013,1609,2486,2758,1625,2259,3047,2496,1207,2495,2503,2922,4153,2635,1180,2124,2144,2209,2609,3620,3068,4001,3585,2616,2826,3407,3903,4057,2040,3232,3330,3735
ADO|84890,1012,1217,904,1390,1681,1042,2763,3066,1642,2482,1809,1939,2176,3344,2918,2967,1239,2398,3173,3198,1677,1762,1129,1321,1276,1306,1585,2014,1812,3178,983,1059,1399,1738,1221,2490,1794,1583,1783,2584
AGBL2|79841,41,19,15,15,22,26,33,63,28,39,26,52,38,27,93,15,19,32,46,44,161,152,49,175,204,83,24,112,208,45,59,19,76,41,25,167,163,67,21,59
ADPGK|83440,1596,1611,1142,1394,1658,1110,2392,3260,2158,2215,2391,2236,2554,3024,3508,2880,1265,2793,3845,2425,4651,4864,2294,3376,3658,3018,2620,4069,4279,4823,4017,2040,3497,3565,5623,5546,4602,2615,3672,3559
AGPAT1|10554,5923,7154,4088,3565,4375,3900,9222,12383,9080,7981,7419,8819,8733,9424,11198,8116,4867,9043,10066,8195,7913,7900,5122,4044,4891,4682,3867,7518,9629,8953,7940,5798,8435,7434,7137,9207,6105,10508,7737,8127
AGAP11|119385,98,31,61,41,6,146,63,64,69,94,104,113,94,76,269,58,74,37,83,245,891,332,155,220,688,55,54,436,663,82,170,120,49,105,64,384,68,95,134,156
ACTR8|93973,1357,1244,998,878,1354,1106,2135,2337,1861,1479,1880,1925,2103,2590,2172,2050,841,1880,2255,2232,1259,934,1703,984,804,747,880,1340,1359,1378,1560,643,1299,770,975,1892,768,1540,1123,1469
AAGAB|79719,1917,2060,1632,1828,2418,1924,6409,6029,3244,3346,3454,3929,3564,4375,4991,4259,2005,4924,5145,5574,1769,2522,3407,875,1146,1364,1293,2773,2469,3092,1331,1069,1834,1484,1428,3422,1484,2015,1486,1829
ACOX2|8309,5133,6337,3637,633,2692,2220,239,120,8735,232,2648,8045,464,674,750,310,315,220,802,2016,670,394,686,343,517,309,624,735,685,1023,2333,600,591,706,62,436,273,118,880,772
?|388795,1,2,1,0,1,1,0,0,0,1,1,0,0,0,0,0,2,1,1,0,5,4,6,1,3,2,1,4,1,1,0,0,2,0,0,2,0,0,0,0
ABHD4|63874,2029,2228,1731,2595,1835,1918,9055,4952,3140,2844,5011,4494,5383,4468,8081,4409,3208,5430,7929,5123,3060,1678,1215,2575,2748,1938,2271,1530,1901,5994,4790,2842,1344,2630,3197,2158,2297,3474,4355,3454
?|404770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFP|174,275,148,242,2,38,52,1,3,204,0,14,199,0,7,0,0,0,1,6,45,8,41,2,0,1,20,75,0,2,4,2,2,1,0,1,15,99,2,3,13
ABLIM1|3983,7851,9241,6325,9763,11185,9765,31217,19065,18222,15024,16520,21603,22618,24588,38402,21840,11076,18622,29877,30291,8395,10704,11471,10547,11631,3871,2815,10328,12830,16650,17219,8496,5340,9906,16317,14479,7865,12254,13586,12097
ABLIM3|22885,1724,2854,1714,931,1988,2008,168,179,2961,284,2678,3329,152,277,288,193,103,141,145,1133,7341,13627,417,3642,6492,4684,11716,8250,10235,4699,11474,10391,855,6151,12405,14695,20974,13751,6565,7847
AADACL3|126767,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIF1|199,766,919,742,1804,1301,1141,284,187,813,515,2507,1463,165,438,431,353,124,484,253,877,4237,3667,315,2364,2209,3130,3375,3337,3849,5362,1827,1035,3150,822,5401,4519,2574,3363,2268,3265
ACAP2|23527,1829,1984,1390,2070,2595,1805,2567,4423,2828,2812,3518,3143,3065,4683,3216,2024,792,1942,2371,3236,4651,4471,2742,3750,3296,2187,2656,4495,4473,4474,4497,1963,1779,3238,4413,7489,2812,3502,3388,4412
ACTR10|55860,2911,1958,2197,2115,3041,1884,4776,5161,3319,3198,3620,3927,3709,5282,5869,5695,2568,4346,5476,4935,3705,2127,1904,2367,2101,1922,2246,2610,2604,5141,4421,2706,1540,3791,4655,3974,1501,4394,3522,3796
AIM2|9447,9,7,26,59,49,6,6,4,7,2,29,4,2,27,10,5,0,18,7,1,152,142,9,64,86,183,243,250,145,62,76,19,230,5,113,323,61,95,50,76
AADAC|13,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,3,11,1,2,1,13,0,0,1,3,12,1,2,0,0,0,1,1,0,0
ACACA|31,1100,980,637,1015,1181,1192,3860,5395,2176,3461,2511,2555,4139,4874,5900,3218,2011,3866,6670,4611,1522,1869,4130,1966,1310,949,1433,2306,2315,2608,2362,1130,1165,2309,2884,2899,2668,2160,1678,3699
ACOT1|641371,2447,3106,2756,607,2876,2617,1971,2621,6099,1574,3232,12427,2440,2049,3439,2678,2021,2155,2647,4224,1060,489,2340,688,1510,1479,1081,1208,945,3111,1964,3800,795,3542,2311,975,945,3799,1253,1502
ADAMTS12|81792,28,38,23,68,80,32,11,67,73,54,144,31,83,65,43,58,8,36,32,77,94,380,165,701,75,473,294,296,73,412,147,34,8,188,173,434,134,151,30,198
ADCK5|203054,239,198,146,60,119,112,174,253,256,178,182,264,198,252,332,266,161,358,338,145,385,238,195,128,262,186,250,276,311,250,167,217,395,228,114,179,177,90,184,242
ACAN|176,72,85,60,720,528,272,93,73,512,488,1339,503,75,259,398,69,58,18,131,454,279,3094,138,1050,2318,5864,4880,7568,356,4877,2477,498,1810,3606,3912,3956,620,1801,1472,2233
ADIPOR1|51094,5535,6136,3689,3932,5280,4377,10309,13912,8428,9975,7402,8523,9574,12714,12827,12993,7346,10668,16223,11339,9610,8852,4514,7510,6162,5600,6269,9221,10272,11416,10457,5896,8094,7673,12947,12925,6938,7988,8782,10362
ADAM21|8747,6,15,6,12,17,6,18,18,12,29,33,15,22,19,20,47,17,10,12,33,6,5,3,2,1,3,7,5,12,10,7,4,7,7,2,17,10,5,8,14
AIPL1|23746,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0
ABRA|137735,1,0,5,7,18,5,1,0,3,1,13,1,1,5,2,6,1,1,4,9,2,11,4,1,1,0,40,5,4,4,7,1,2,0,3,8,4,3,4,3
ACTR3B|57180,250,410,238,153,265,275,880,267,405,450,407,611,595,756,1082,483,407,502,641,884,265,325,831,284,227,184,234,294,446,259,264,208,202,843,497,273,320,448,254,425
AGPAT9|84803,10930,12683,5285,1290,6403,4728,4479,1508,20656,1554,5022,9301,4263,7212,12586,3384,2834,3191,15872,11106,629,479,28166,946,524,252,91,782,1570,478,649,1352,379,2250,759,1153,121,1692,1080,1028
AASDHPPT|60496,2414,2683,2318,1811,3356,2106,4226,5304,3665,3371,3892,4308,2991,4386,4144,3646,1581,2805,3885,5178,4749,2840,2955,3086,2133,1936,2081,4874,4066,5601,3928,2709,2709,3552,2759,5808,1886,4604,2312,4904
