,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40
ACTR1A|10121,3620,4354,2954,3975,4576,3958,9456,8868,7156,6850,8669,8514,8388,9644,10831,9229,5729,9758,11718,8998,5503,7000,5742,3852,4404,6941,7691,8239,7798,13293,4288,5038,6316,6273,6254,10263,4423,7087,6118,7728
ACPP|55,1901,1241,1463,2854,2411,1740,2925,841,4717,681,2016,7056,1336,6170,5394,1601,757,1484,1968,2752,97,92,40,23,46,16,33,34,74,23,21,4,28,7,51,106,37,20,27,71
ADAMTS7|11173,48,83,34,118,67,103,16,42,91,68,234,137,75,73,219,59,56,73,82,91,535,928,221,465,639,971,405,639,405,916,801,771,423,742,1161,1044,514,432,1025,1178
ABI2|10152,3027,3538,2260,3402,3625,3565,7299,6593,4305,5552,5341,5702,6057,8024,9601,5948,3221,5674,8440,7655,3868,4870,4201,5215,3040,2066,2071,4750,5728,4876,3775,2535,1592,3429,4156,6569,2406,5884,3752,6139
AK3L1|205,10763,13739,7847,679,6293,5611,982,820,15195,662,4939,15440,887,1501,1098,840,250,540,686,3765,3759,3750,71,2864,3111,1834,4289,5645,2841,5180,4638,3785,2759,3278,3611,5178,3933,4023,2784,3947
ACACB|32,2875,2577,1416,942,778,2731,3713,3469,3166,3697,3564,5117,7508,6625,8717,3686,3240,7187,8804,4604,2342,2959,8695,1218,3016,772,781,1860,5022,1075,7806,2373,1129,1807,1331,2713,2386,1352,2373,2426
AKAP1|8165,3054,3148,1709,1611,1813,2495,6826,4221,4724,4427,3590,6361,6154,6144,9425,4824,2776,4350,5532,8681,2871,3287,4894,1952,3405,1454,1260,3485,4505,3687,5230,3239,2914,3972,4330,4615,3605,4195,3181,4955
ABHD1|84696,58,41,27,15,32,27,51,15,55,28,50,59,48,52,64,45,16,19,46,102,28,41,17,38,104,8,7,9,85,44,164,95,20,312,58,97,4,247,37,54
ACIN1|22985,2928,3161,1781,2819,1808,3908,8313,4509,4290,4541,6020,5904,7118,4954,10329,6103,4615,6830,10212,6874,6782,5251,2982,4560,6227,5481,3628,5609,6889,10846,7647,4007,5539,5787,6778,6669,4044,6398,5670,6024
?|645851,101,35,14,2,2,29,18,9,73,8,6,39,4,13,22,4,5,9,5,24,53,35,20,11,28,22,6,52,112,17,10,4,21,14,4,33,6,2,7,3
AGAP5|729092,52,18,11,29,8,73,62,42,36,47,55,67,65,29,153,18,26,45,70,64,219,189,46,99,122,56,34,197,221,30,109,31,109,72,49,189,29,30,31,74
ABHD5|51099,1198,1299,1043,1082,1401,1079,2706,3452,1941,2066,1803,2210,2127,3072,3276,2798,1480,2449,3529,3636,1019,762,672,911,613,666,767,1280,984,1638,875,651,835,999,1331,1823,507,1287,795,1394
AGAP8|728404,85,24,17,6,7,60,25,17,47,26,55,43,73,6,70,11,6,33,23,37,209,42,62,42,83,55,12,301,375,27,51,12,153,44,38,28,19,8,31,19
ACTR6|64431,1032,909,865,936,1469,892,1872,2500,1451,1480,1480,1625,1608,2300,2387,2212,911,1807,2339,2180,1903,1518,1352,1446,1411,741,1128,1504,1866,1803,2075,1092,962,1384,2298,2373,1133,1286,1344,2171
ACTBL2|345651,0,0,0,6,19,0,89,51,9,26,4,0,19,63,18,22,22,49,35,12,3,5,11,8,0,9,124,1,0,64,0,0,0,0,1,7,26,0,0,1
ADAM32|203102,3,0,4,3,3,1,15,33,3,41,10,3,24,3,11,6,5,6,9,4,8,21,66,5,10,17,3,4,6,9,6,2,4,1,12,5,12,6,8,0
ABCD1|215,494,618,314,507,515,385,828,816,928,749,809,878,793,946,1127,797,695,1011,1250,831,1404,1729,446,915,1058,1247,1535,1406,1749,1884,1573,1991,1750,1898,1849,2159,1628,1164,2580,1511
AADACL4|343066,6,5,10,3,0,12,0,13,9,7,19,10,0,2,1,6,3,4,3,1,1,0,1,0,2,3,0,0,2,0,3,0,0,0,0,0,0,1,0,0
AKAP2|11217,2191,3375,1972,3088,3480,2547,3485,6527,5230,6823,8050,7385,4643,5869,7422,3822,1874,4625,8243,7367,4345,6270,2462,4400,4728,3248,3027,6578,6289,6165,8141,4747,2056,5862,6394,12083,7003,8559,5869,8495
ACOT4|122970,1181,1393,824,106,654,442,524,527,1395,380,574,1251,297,410,578,411,262,429,390,890,341,171,254,66,542,663,397,689,391,1107,1267,1099,301,1459,1085,734,261,1969,676,146
ACOX1|51,8713,11304,6250,2354,6722,6012,7300,5606,13092,4545,6869,15568,6107,7846,9009,6634,3981,5323,7564,10571,5140,4163,4725,2058,2935,2770,2549,5406,5374,5411,4437,3697,4667,6273,3809,6186,3267,6716,3206,3909
ADPRHL1|113622,222,53,30,23,19,50,106,187,61,140,77,69,107,170,151,176,109,136,223,158,50,14,76,10,14,30,11,22,33,38,22,12,5,24,13,23,9,32,50,9
AFARP1|246182,25,20,14,2,8,21,6,12,30,4,8,13,3,4,7,9,0,9,9,30,36,21,3,37,24,18,6,16,22,18,29,14,21,39,14,17,11,11,10,12
AK1|203,1065,1081,772,1152,873,1117,2981,2805,1707,2034,1953,1842,2312,2862,3382,3684,2487,3065,3424,2938,746,780,1885,349,568,845,644,965,1029,2010,615,750,332,1022,820,655,270,1099,758,830
ADIG|149685,2,2,2,0,1,1,5,4,1,0,1,3,5,1,0,0,0,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ABCA2|20,2188,2254,1138,1710,1196,2450,4967,1975,3282,3756,3672,4965,5980,5288,7351,3558,3748,3203,6913,4436,4073,6827,5113,3080,2196,1925,1283,4636,4640,2693,3733,3456,2664,4364,2913,5547,6597,4746,5721,6501
ACE2|59272,8846,8084,4513,1359,5819,2140,269,161,13158,251,4744,9320,331,760,498,65,25,88,254,4942,4231,3711,14,35,3996,249,4,20104,21891,4224,6065,10682,8864,9752,730,27032,717,3248,4657,5254
ADH5|128,17034,14673,11379,6131,14364,8263,12871,16088,20928,10256,13661,21959,12733,16710,19869,17335,8947,12909,19025,18808,13081,9219,6467,5632,7518,6653,5649,11355,13955,16918,13416,9528,8456,18688,14715,16306,6621,9825,14013,10157
AHNAK2|113146,119,152,55,1446,925,218,437,495,566,500,1343,368,277,341,380,354,133,178,203,932,13424,15390,106,2609,2797,3457,4595,6004,6074,9716,6474,5654,578,3688,25250,8928,2957,551,8853,1259
AARS2|57505,498,587,419,606,462,606,1733,1473,970,1061,1067,1321,1709,1586,2372,1389,1068,1461,1904,1264,1274,1597,1067,798,1248,775,661,1688,2052,1962,1954,1296,1837,2001,1584,1763,1169,1129,1213,1748
ABCB7|22,1069,989,703,610,997,850,1568,1657,1456,798,1212,1581,1493,1632,1810,1341,514,1234,1779,1780,1922,1823,1666,1455,1272,677,996,1426,1559,2671,2448,1139,1117,1494,3228,2324,923,1732,2961,2281
ABCB8|11194,1497,1729,1213,1044,1652,1155,2209,1856,2987,1312,2278,2975,1824,1975,2817,2054,1424,2061,2560,2078,1495,1278,2381,631,1114,1661,1931,2088,1380,2003,1322,1304,2508,1436,860,1182,1356,1939,1104,1313
ADHFE1|137872,938,571,510,239,402,707,1195,754,1265,935,664,1322,1097,1058,1649,1045,600,479,1910,1588,460,288,608,187,416,91,78,407,581,217,278,162,122,272,127,326,102,200,311,150
AGTRAP|57085,2778,2723,2102,1883,2310,1299,3303,3180,3516,1830,3207,3585,2230,2375,3323,2109,1442,2549,2131,2518,3077,3622,442,1917,1835,2572,5163,1551,2224,4502,2481,2900,4025,3194,4326,3278,3440,2590,3002,2988
AFAP1|60312,895,1244,675,1677,1550,1210,2371,2362,1850,2002,4242,2349,2513,3263,5693,2177,1183,1887,2306,3742,2959,3848,898,3651,2254,2600,1519,3642,3201,4814,5716,3525,1927,4008,3338,4416,2056,5335,4192,9011
AKAP10|11216,1300,1256,925,830,1212,952,2035,2088,1747,1412,1535,1946,1718,2265,2322,1510,586,1210,1721,2477,2422,2135,1927,1335,1469,828,705,2171,2483,1732,2212,1212,1151,1556,1613,3013,1714,1802,1701,2033
?|136542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB6|10058,897,1148,672,507,983,584,1129,1566,1852,662,1323,1636,634,688,1172,765,433,1387,851,1097,1900,2205,295,4002,3228,1739,3003,3488,2067,2912,3041,3855,4216,2163,2538,3898,5701,6445,1916,3103
ACP2|53,2191,2680,1908,1700,2491,1709,3984,4063,4813,2654,3651,4755,3187,3581,4839,4261,2021,4566,4078,4020,3487,2716,1295,2737,2662,3404,2986,3478,3978,5452,2049,2505,4513,2614,6329,4891,3377,3848,3252,3317
A2BP1|54715,17,16,15,11,11,16,34,0,21,22,37,44,62,13,27,7,27,11,16,89,3,1,4,0,1,1,0,0,0,11,5,0,0,0,0,11,0,0,39,1
ABCF3|55324,2167,2409,1547,1353,1710,2011,4949,4043,3790,2964,3492,4372,3898,3755,5352,4893,2437,5090,5716,3892,2611,2880,2294,2617,2389,2433,2929,3626,2769,4181,3817,1585,2222,3480,3165,3973,2917,2486,3680,2501
ADCYAP1|116,15,17,32,428,128,51,24,8,65,22,147,173,4,39,22,5,4,18,6,122,167,23,15,56,11,26,3,51,11,95,34,71,3,72,44,157,10,118,23,43
ABHD14B|84836,7254,9312,6830,3562,6121,6219,12664,10790,11044,6185,9999,13687,8254,9898,10537,10360,7492,8813,11241,11661,4357,3620,6276,3053,2687,3992,4377,4597,5366,5759,5360,4375,6454,5621,6176,5059,4134,6873,4817,4088
?|390284,22,13,5,10,4,22,22,46,8,26,15,20,21,21,28,33,25,37,65,26,20,20,7,6,6,15,6,9,22,31,30,17,18,16,19,25,10,22,20,18
?|441362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSL5|51703,603,442,511,1354,1231,696,2135,1994,944,1821,1893,1294,1879,2119,3145,1526,1117,2615,2446,2178,2883,1895,1095,1253,1395,2276,3323,4925,4849,7520,4460,1500,4194,1113,1802,6274,2158,2457,6236,2248
ACVR2A|92,829,802,631,798,875,839,1815,1431,1121,1270,981,1224,1206,1708,1814,1549,730,1339,1803,2418,999,837,768,977,643,606,533,974,1215,1643,600,615,468,1005,971,1050,672,1808,1116,894
ADAMTSL5|339366,39,68,4,33,11,34,45,177,78,165,46,34,70,124,41,93,79,151,85,31,17,53,89,13,9,84,79,12,10,24,68,7,11,7,12,20,187,26,9,31
ABCB1|5243,5105,5953,3785,4981,7346,2763,9341,5085,12340,5520,9336,10782,12251,8291,9039,9430,1932,2895,9901,10883,1585,3198,100,195,3976,462,638,4355,6802,2877,10380,2344,590,849,693,3342,7108,17513,6027,6189
ABCG2|9429,400,382,411,187,537,383,110,1245,648,678,909,695,767,1235,687,407,186,401,513,725,1184,608,430,406,776,642,318,639,920,999,2999,4857,596,2262,389,2508,182,1475,1684,1999
ACCN5|51802,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ACTR5|79913,312,313,219,273,290,266,658,633,455,426,491,573,440,421,622,462,251,488,564,515,609,477,251,691,488,568,795,708,645,892,531,513,420,611,741,875,458,684,601,665
?|729884,0,1,0,37,3,0,16,35,1,12,14,0,8,1,1,1,2,1,2,5,1,4,21,3,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
AKAP13|11214,3245,5244,2945,5289,4188,4001,6926,7939,7743,4839,11390,8684,6506,7434,8542,4038,2211,4989,6110,7472,8322,17115,8654,10660,10331,7241,4101,12396,19013,11915,22570,9150,7911,7305,11912,20311,12827,9567,13401,12655
AGBL1|123624,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,16,2,0,0,0,0,19,0,0,0,2,0,0,0,0,0
ABT1|29777,810,882,581,890,767,559,1803,2176,978,1517,1224,1121,1293,1709,1555,1390,727,1610,1678,1623,1687,1676,775,1161,1136,1237,1442,1638,1975,2387,1827,1179,1695,2075,1582,2044,1186,1855,1883,2450
ADD1|118,12353,14300,8973,10076,11157,10758,22307,29386,19199,19310,20432,23644,21272,25347,26173,21562,12862,23475,30952,20562,15739,21208,11184,10882,15566,12882,9672,18927,24143,24265,26762,23258,20306,21645,18027,29083,14129,17986,24981,21864
ABCA6|23460,285,290,210,340,439,518,25,182,558,291,677,371,217,462,281,198,46,198,114,372,451,125,54,114,25,307,60,67,116,186,185,12,8,28,21,88,79,40,113,48
AGL|178,2330,2781,1933,1647,2916,2462,4581,4301,4279,3605,3648,4973,5274,6809,6831,4853,2079,3796,6801,7015,2105,2246,2143,1151,1785,1003,1228,3342,3685,2711,1574,1441,1148,2997,2304,4472,1719,1707,2198,2518
ADAM12|8038,41,69,49,295,377,99,36,11,156,83,559,73,44,88,82,61,16,63,30,142,403,1392,377,1482,143,4232,2370,178,89,1917,206,38,123,74,441,760,5125,155,85,288
AK7|122481,291,180,136,237,207,202,1151,617,561,583,355,502,1018,1089,1974,986,478,690,1273,1146,289,86,353,377,265,42,56,68,581,451,227,147,19,219,224,327,63,344,687,618
ACTR3|10096,4583,5386,4889,7828,9542,4945,16236,15489,8945,8595,11572,8975,8624,12392,16499,13293,6466,10726,15621,16937,12928,13747,8717,10324,8671,11436,17645,17630,14768,21656,12200,7808,12209,9741,21436,24996,10079,16820,11543,19380
ADIPOR2|79602,2528,3161,1970,2859,2612,3002,7743,7126,4346,4538,6205,5856,7457,8195,9867,6777,3574,5993,9056,8082,5186,6573,12460,4037,5059,3023,3780,5757,8790,6882,9854,5773,4274,4762,6365,10603,5527,5884,6867,6477
AIG1|51390,6595,6715,4929,1965,5627,2492,4709,4145,8106,2841,5005,6492,3733,4071,5158,5074,2959,3512,6281,6341,6533,6396,2286,2025,4857,2251,2477,5092,2810,7463,4466,5333,3882,6395,4012,6296,2465,8990,6055,6580
ADAM10|102,2926,2707,1720,4160,4330,2641,14933,21194,5075,12343,6174,5220,11059,12534,15991,10415,3237,8881,12721,13333,7908,18238,4310,5194,6341,3558,3336,7814,8815,10689,8062,5600,5094,7171,11315,14705,13783,8469,8090,12505
AIM1|202,3097,3113,2075,2362,3023,2607,12044,19351,5226,7987,4655,6497,8003,8363,7610,5943,2888,8954,10480,8447,6043,7343,873,4563,5920,4148,7248,9163,10484,7765,5346,4728,2851,7344,5646,18098,6897,11122,5477,8196
ADAT1|23536,703,763,453,539,601,710,1733,2969,991,1265,991,1153,1341,1676,2410,1323,476,1022,1831,2016,1414,1414,1395,645,528,456,389,1317,1141,819,622,342,481,794,590,1620,787,553,550,982
ADAMTS18|170692,12,7,5,15,12,29,21,55,8,44,35,29,63,19,63,23,13,27,27,53,124,54,54,27,184,65,8,42,48,33,137,37,59,104,26,21,73,3,75,468
?|652919,0,24,4,4,15,26,146,87,118,0,122,124,0,179,211,0,0,49,42,164,99,4,408,0,0,0,3,11,0,36,12,36,10,94,38,4,0,0,102,163
ABCG5|64240,26,6,7,4,7,9,21,11,7,8,4,17,13,18,53,10,15,12,64,38,22,5,3,6,9,2,4,9,16,11,6,12,10,14,2,11,0,7,4,9
AFF2|2334,32,38,42,151,144,26,54,74,107,84,157,72,38,115,196,68,56,103,97,122,692,220,25,223,375,54,209,117,98,1236,818,61,44,221,165,233,615,88,1565,703
ADAMTSL1|92949,375,477,270,479,491,1014,140,155,907,809,1894,1464,1446,497,1097,327,130,110,863,671,193,198,7478,233,70,586,369,493,113,767,523,87,25,120,30,243,140,561,287,184
AGPAT4|56895,497,333,231,476,387,651,896,620,642,1063,877,825,1924,1368,2866,1015,767,1222,2594,1199,521,827,137,564,539,438,386,960,615,933,407,528,281,309,581,793,290,352,809,628
ADAMTSL3|57188,495,1066,483,1707,1194,983,2665,882,1526,793,2629,1716,1875,2105,3199,1323,389,1233,1688,2519,1288,2484,311,2386,7151,701,888,3331,818,4777,4529,1721,1232,1355,2297,4206,4648,1989,1319,5517
AATK|9625,56,63,28,42,23,54,49,43,126,59,102,253,99,96,266,54,57,78,131,130,238,258,123,275,271,202,54,257,380,223,271,254,186,589,338,261,126,215,437,370
ADAM9|8754,4716,4189,3706,6048,7876,3798,11048,14573,10900,7794,12174,9336,7034,10452,12050,9717,2741,9774,12082,11335,19734,21768,7539,15774,14618,6167,7098,12170,11794,11114,18811,8659,6011,9126,20738,26912,43330,9656,14005,25586
ACOT2|10965,1590,2484,1731,446,1497,1535,1363,1642,3661,1112,2894,4729,1956,1564,2604,1817,1058,1612,1975,2430,668,418,1674,490,944,736,603,761,608,1905,1814,1475,704,1965,1600,960,575,1812,898,972
A2M|2,23608,30515,21864,90056,75100,52751,49073,87317,90620,115856,194741,62711,52697,116470,146957,114607,34788,82119,112175,101872,88819,111097,31883,86705,87018,81178,66173,74476,112106,171072,229333,125898,83182,112643,170452,250289,73613,115319,192340,167997
ABCC6|368,5805,7244,3356,588,4421,1353,725,97,8098,243,3096,7261,564,1484,778,237,195,243,604,1653,6022,1722,259,103,3107,1230,1738,3753,2760,1462,3696,2228,4936,1793,343,2139,4839,3370,3462,1353
ADAM28|10863,283,364,329,544,694,184,189,652,674,388,598,492,183,219,112,146,36,100,90,278,1449,2459,48,713,1236,418,462,592,1996,1094,645,416,928,272,1415,1756,1561,480,1694,1616
AHR|196,1638,2679,1556,3981,2987,1380,4336,6895,3133,5818,4386,3290,3055,5063,5620,2715,1645,2248,4515,5243,10483,10063,2724,5152,11133,4880,6073,4192,12091,7251,6794,4687,3423,3135,8399,11520,11580,8227,6839,12353
ACBD5|91452,4825,4739,2559,1974,3347,3446,8772,13225,6633,5286,4436,6704,9259,10032,7999,7685,3128,6633,8981,8505,4777,3868,4830,2049,3188,1556,1523,5044,5388,4024,4787,2951,3321,4704,6870,7495,3592,3007,4041,5252
ACADSB|36,18311,20636,14870,2285,10238,11568,6986,4265,28813,6277,9868,28982,7591,10520,11108,8053,3806,4953,11190,17305,3137,1877,10158,2023,3999,713,699,3233,4429,5267,3386,3104,1394,4620,3603,5275,2217,3329,3584,3712
ACSS1|84532,4117,3553,2428,2323,2476,4791,8521,3047,5900,5294,6988,10876,11568,9381,14590,7866,6452,9641,12874,11718,4224,2345,6180,1866,4204,2071,2476,7132,4751,4274,11799,3930,2263,4421,3984,6089,2187,4034,1619,3749
?|280660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGPAT3|56894,13252,18653,9579,3554,10781,6904,11644,8424,29130,5414,12802,26502,7275,9208,9948,7897,4445,8233,7710,12970,7299,7628,3367,3678,5474,4043,3356,13613,12439,10321,6367,9523,8904,14217,8356,11042,4868,9940,5386,9054
ACOXL|55289,2,5,1,3,2,2,12,12,7,18,11,4,9,5,10,10,8,8,9,5,5,7,9,8,6,7,7,2,2,9,3,0,3,1,2,2,7,3,22,8
ABCC4|10257,3452,4154,2369,2330,4553,2098,3869,5653,7008,3076,3523,5708,4038,4797,5642,3834,1264,3823,2649,5490,6516,8232,13262,3243,3083,848,1452,7051,9597,4911,3634,4392,4961,5377,4956,4412,2970,4611,3382,9222
ACPL2|92370,741,838,588,877,841,455,2027,6567,1061,2532,965,1042,1299,1948,1412,1921,935,3131,1859,1643,1996,915,668,3823,1570,1002,807,1722,1904,2846,1008,604,1902,1368,1011,1263,1895,1087,2668,2505
ACTN2|88,23,16,13,22,25,16,37,13,21,16,31,39,23,23,97,35,27,16,66,52,13,16,7,336,191,75,70,7,5,198,81,2,8,99,65,201,15,6,5,117
ADAM2|2515,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD2|119,1,0,0,14,8,1,35,47,7,25,31,1,6,7,42,10,3,26,11,40,140,112,2,570,29,25,45,77,183,50,24,21,29,9,14,59,132,14,18,63
ADPRH|141,369,376,307,910,707,550,1381,1943,773,1152,1658,814,1187,1554,1941,1469,778,1493,2021,1326,1515,1647,553,1247,990,1295,1967,2350,2037,3146,1642,1170,1024,1239,1815,3405,957,2325,2478,1243
AFF4|27125,5419,7303,4760,6233,7373,6210,12147,16917,11441,12067,10622,12495,11967,15662,15605,9314,3503,8091,15967,16893,14169,14894,15762,10834,8726,5201,5061,15162,18611,9954,15764,8657,8580,8231,10732,23111,10511,11113,13627,13437
AKAP4|8852,2,2,3,1,0,3,3,1,1,3,3,8,12,3,13,7,4,5,7,3,0,1,0,0,0,0,0,0,1,1,2,2,1,3,1,0,0,0,0,2
AATF|26574,1318,1656,965,1318,1418,1235,4103,3632,2718,2063,2818,3096,2497,2816,3927,3020,1721,3291,3563,3626,2678,3064,1816,3233,2261,3068,2725,3066,4353,5404,6292,2983,3887,3215,8175,4705,2671,3832,4048,4565
ABCA5|23461,1063,1235,729,699,961,1514,1453,1684,1437,1522,1567,2372,1686,2171,2194,1411,667,1208,2133,1486,1730,1178,2422,1364,1284,480,273,1528,2815,1017,2430,1128,713,1254,1331,2775,690,1288,1610,1326
ACOT7|11332,6985,6464,3797,1152,2176,2191,745,963,8183,696,4506,7679,485,696,980,623,430,809,1136,2027,4467,2291,429,1155,2445,3007,1550,3477,1606,8830,3685,3787,14191,3438,1359,3581,4165,4048,6444,4530
